num_nodes,edge_prob,x_0,x_1,x_2,x_3,depth,num_qubits,rx,rz,cx
10.0,0.9,2.497320863167424,2.7542839148116625,2.6241537437001883,1.0047324041356982,429,10,30,200,360
12.0,0.5,3.2362599344000005,2.6250496288046787,4.105967281158999,1.7918126536734946,315,12,36,136,224
12.0,0.5,4.46620501589472,2.849580357490555,2.334857992044568,1.0895741288469498,354,12,36,160,272
12.0,0.5,3.495511389331278,1.6523201547501742,3.09360907618935,1.4907013755369276,315,12,36,148,248
12.0,0.5,4.624597569751269,2.052444805641452,3.216316757892581,2.23154809271287,279,12,36,140,232
12.0,0.5,4.141973418353096,1.569728604634317,3.152535764341268,1.563275941982454,330,12,36,148,248
12.0,0.5,3.121451384312213,1.7731232613020342,3.555016101814348,2.73080964830712,375,12,36,176,304
12.0,0.5,2.844446857053538,1.382004771782964,4.978831303343184,1.2043072102562158,372,12,36,160,272
12.0,0.5,4.143205578384069,2.577113676606805,4.132428428516011,1.5621580614150126,384,12,36,176,304
12.0,0.5,3.1440307348365595,1.5624119883864431,3.136722521518498,1.570997430983909,306,12,36,140,232
12.0,0.5,3.148899307050061,2.5775971108833637,3.142028943240858,1.5703818363438882,318,12,36,144,240
12.0,0.6,3.156540922431108,1.569363633006707,3.134200178371867,1.554926524815303,435,12,36,196,344
12.0,0.6,3.043112033422646,0.6787385783072922,2.525359643919225,3.1548373331531088,390,12,36,176,304
12.0,0.6,2.108491186194557,1.7852879370928871,4.21070253924569,1.3247048303882214,288,12,36,132,216
12.0,0.6,3.2869067413987856,2.6186104401243817,3.616487466010963,1.4977737793727606,393,12,36,176,304
12.0,0.6,3.616078542003279,2.6977475052492337,4.235141112814095,1.5525400838576604,345,12,36,156,264
12.0,0.6,3.2995912646730203,1.725882138161973,4.062437147590384,1.502521616497438,351,12,36,156,264
12.0,0.6,4.234827291770615,2.6763618196475663,2.9329439018704693,1.5225509495322316,402,12,36,180,312
12.0,0.6,3.8115284267080902,1.4490598807067905,4.9806058300516565,3.570544608578585,387,12,36,180,312
12.0,0.6,4.1937885819185965,1.7372586882946603,3.0678388417879834,1.6245618939286537,312,12,36,144,240
12.0,0.6,1.289406960444684,2.2318719779477845,3.044206750805642,0.4771473495379306,348,12,36,164,280
